Country,Region,Density,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital,Currency-Code,Forested Area (%),Largest city,Life expectancy,Official language
Jordan,NEAR EAST                          ,115,0.12,89342,116000,21.98,962,Amman,JOD,0.011,Amman,74.4,Arabic
Kazakhstan,C.W. OF IND. STATES ,7,0.804,2724900,71000,21.77,7,Astana,KZT,0.012,Almaty,73.2,Russian
Kenya,SUB-SAHARAN AFRICA                 ,94,0.485,580367,29000,28.75,254,Nairobi,KES,0.078,Nairobi,66.3,Swahili
Kiribati,OCEANIA                            ,147,0.42,811,,27.89,686,South Tarawa,AUD,0.15,South Tarawa,68.1,English
Kuwait,NEAR EAST                          ,240,0.084,17818,25000,13.94,965,Kuwait City,KWD,0.004,Kuwait City,75.4,Modern Standard Arabic
Kyrgyzstan,C.W. OF IND. STATES ,34,0.55,199951,21000,27.1,996,Bishkek,KGS,0.033,Bishkek,71.4,Russian
Laos,ASIA         ,32,0.103,236800,129000,23.55,856,Vientiane,LAK,0.821,Vientiane,67.6,Lao
Latvia,BALTICS                            ,30,0.311,64589,6000,10,371,Riga,EUR,0.54,Riga,74.7,Latvian
Lebanon,NEAR EAST                          ,667,0.643,10400,80000,17.55,961,Beirut,LBP,0.134,"Tripoli, Lebanon",78.9,Arabic
Lesotho,SUB-SAHARAN AFRICA                 ,71,0.776,30355,2000,26.81,266,Maseru,,0.016,Maseru,53.7,English
Liberia,SUB-SAHARAN AFRICA                 ,53,0.28,111369,2000,33.04,231,Monrovia,,0.431,Monrovia,63.7,English
Libya,NORTHERN AFRICA                    ,4,0.087,1759540,0,18.83,218,Tripoli,LYD,0.001,Tripoli,72.7,Arabic
Liechtenstein,WESTERN EUROPE                     ,238,0.322,160,,9.9,423,Vaduz,CHF,0.431,Schaan,83,German
Lithuania,BALTICS                            ,43,0.472,65300,34000,10,370,Vilnius,EUR,0.348,Vilnius,75.7,Lithuanian
